career,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,score
Data Analyst,Tableau,Terraform,Presentation,Agile,Scala,Communication,Scikit‑learn,Cryptography,67
Data Analyst,Terraform,Prototyping,Scala,Kotlin,NLP,A/B Testing,Communication,Statistics,71
Data Analyst,Communication,A/B Testing,Statistics,SwiftUI,Excel,Scala,Prototyping,Cryptography,66
Data Analyst,SQL,C++,Presentation,Communication,Statistics,SwiftUI,NLP,TensorFlow,90
Data Analyst,SwiftUI,Excel,Agile,A/B Testing,SQL,Kotlin,Communication,Statistics,68
Data Analyst,A/B Testing,Scikit‑learn,Communication,Statistics,NLP,PyTorch,Kotlin,Prototyping,60
Data Analyst,Excel,SwiftUI,Agile,NLP,A/B Testing,Cryptography,Kotlin,C#,84
Data Analyst,Scikit‑learn,Prototyping,C++,Statistics,NLP,Presentation,Kotlin,Excel,85
Data Analyst,Scikit‑learn,Kotlin,SQL,SwiftUI,Presentation,Statistics,Prototyping,Agile,67
Data Analyst,A/B Testing,Agile,Kotlin,PyTorch,C#,Tableau,Presentation,Scikit‑learn,59
Data Analyst,NLP,TensorFlow,Scikit‑learn,SwiftUI,Scala,C++,Cryptography,Agile,73
Data Analyst,Scikit‑learn,TensorFlow,Tableau,C#,A/B Testing,Statistics,Terraform,SQL,59
Data Scientist,Leadership,PHP,AWS,Scrum,JavaScript,Scikit‑learn,React Native,Python,79
Data Scientist,Terraform,AWS,Zapier,Vulnerability Scanning,Leadership,Computer Vision,Scrum,Scikit‑learn,90
Data Scientist,Zapier,React Native,Scikit‑learn,Statistics,Vulnerability Scanning,AWS,Serverless,Tableau,50
Data Scientist,JavaScript,Scrum,Next.js,Terraform,Leadership,Tableau,Vulnerability Scanning,Serverless,69
Data Scientist,Design Systems,ML,JavaScript,Python,Zapier,Statistics,PHP,Information Architecture,98
Data Scientist,PHP,Scikit‑learn,Information Architecture,Next.js,Vulnerability Scanning,JavaScript,AWS,Zero Trust,77
Data Scientist,React Native,PHP,JavaScript,Zero Trust,Serverless,Scrum,Tableau,Vulnerability Scanning,78
Data Scientist,Zapier,Tableau,Leadership,Design Systems,JavaScript,ML,Vulnerability Scanning,Terraform,87
Data Scientist,PHP,Design Systems,Information Architecture,Terraform,Python,Statistics,Scrum,Zapier,64
Data Scientist,Python,ML,Scrum,JavaScript,Design Systems,Scikit‑learn,PHP,Next.js,63
Data Scientist,PHP,Scikit‑learn,Next.js,Design Systems,JavaScript,Serverless,React Native,Leadership,56
Data Scientist,Leadership,Computer Vision,Statistics,Information Architecture,Zapier,Design Systems,Next.js,PHP,53
ML Engineer,Bash,Airtable,NLP,Flutter,BigQuery,Teamwork,Ruby,PyTorch,85
ML Engineer,Swift,Ruby,Penetration Testing,Python,TensorFlow,Flutter,Statistics,Teamwork,60
ML Engineer,Bash,PyTorch,MLOps,Agile,Statistics,Flutter,Python,TensorFlow,74
ML Engineer,Python,Statistics,NLP,Flutter,Django,Agile,Problem Solving,Bash,85
